,text,Sentiment,created_at
381,@wmaster33 @MundayJessica @sallymcmanus There's the assumption - WFH for teachers is a bludge. I can assure you it's not!,positive,04-26
382,"RT @paulomalley: Microsoft Teams is great for messaging your coworkers, but what if you want to share an email with them? 

Don’t forward i…",positive,04-26
383,"@jvedmond @iMusing We have to make it work. Maybe rosters in workplaces, 1/3rd in 2/3 WFH. Keeps separation, but ad… https://t.co/hwzAXeMRJ0",positive,04-26
384,"@speechieLO That was the case last term. My wife was same. WFH.

No details from @GladysB yet about Term 2 arrangem… https://t.co/bIP5fnlpPv",positive,04-26
385,@CAclubindia No because CA's can WFH as well. 99prcnt work is laptop and data sharing based unlike shops and manufa… https://t.co/nIxhN6ZPRo,positive,04-26
386,"RT @iMusing: Trioli points to how quickly we were able to switch to WFH in a crisis - this is a flexibility and productivity convo, basical…",positive,04-26
387,"RT @iMusing: Trioli points to how quickly we were able to switch to WFH in a crisis - this is a flexibility and productivity convo, basical…",positive,04-26
388,@IbuNe_neng Astagfirallah🙈... karena olimpiade baral neng... makanya gw latihan WFH,positive,04-26
389,"RT @paulomalley: Microsoft Teams is great for messaging your coworkers, but what if you want to share an email with them? 

Don’t forward i…",positive,04-26
390,"Microsoft Teams is great for messaging your coworkers, but what if you want to share an email with them? 

Don’t fo… https://t.co/YvMaY6hfbY",positive,04-26
391,Meu programa de sábado à noite: assistir a live comentada de Jurassic Park no IGN com o @MazzelloJoe (o Tim Murphy… https://t.co/N9Kx22IpIC,positive,04-26
392,"RT @iMusing: Trioli points to how quickly we were able to switch to WFH in a crisis - this is a flexibility and productivity convo, basical…",positive,04-26
393,"RT @iMusing: Trioli points to how quickly we were able to switch to WFH in a crisis - this is a flexibility and productivity convo, basical…",positive,04-26
394,"RT @iMusing: Trioli points to how quickly we were able to switch to WFH in a crisis - this is a flexibility and productivity convo, basical…",positive,04-25
395,"RT @iMusing: Trioli points to how quickly we were able to switch to WFH in a crisis - this is a flexibility and productivity convo, basical…",positive,04-25
396,RT @jessaroo: Anyone looking after kids right now: you need to see this before you stare down another week in home-school-iso-while-trying-…,positive,04-25
397,"@jvedmond @iMusing I agree, but sometimes media forgets that not everyone can. WFH has challenges, it doesn't suit… https://t.co/HpyaiRa0xP",positive,04-25
398,Anyone looking after kids right now: you need to see this before you stare down another week in home-school-iso-whi… https://t.co/QopfmL8UMY,positive,04-25
399,"RT @Erin_Gallagher: Pre work from home: Please timetabling do NOT give me an early morning class scheduling.
Post work from home: Please ti…",positive,04-25
400,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",positive,04-25
401,#saturdaynight #party #wfh #workfromhome #videochat #emotionallyconnected #houseparty #housepartyapp #4am #lockdown… https://t.co/VoBepvLrGU,positive,04-25
402,@beerboy182 @Kernpuff @L_L_12_ Use to walk past every day when I wasn’t WFH.. very easy to spot American tourists t… https://t.co/OScOog5gRC,positive,04-25
403,"RT @iMusing: Trioli points to how quickly we were able to switch to WFH in a crisis - this is a flexibility and productivity convo, basical…",positive,04-25
404,"Pre work from home: Please timetabling do NOT give me an early morning class scheduling.
Post work from home: Pleas… https://t.co/2uoHANgrVq",positive,04-25
405,@iMusing What’s WFH please? 🤔,positive,04-25
406,"@caamresh The notification was for shops selling non essential goods, services have not been considered. WFH is the… https://t.co/8Pko8mApqc",positive,04-25
407,"5 tips to work from home productively
 https://t.co/9o3fvZdL7x

#wfh #WorkFromHome",positive,04-25
408,Trioli points to how quickly we were able to switch to WFH in a crisis - this is a flexibility and productivity con… https://t.co/gUXVEIhOHZ,positive,04-25
409,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",negative,04-25
410,#WFH = me working at 4:15am for some reason 🤷‍♂️,negative,04-25
411,"@rahulkanwal Productivity has been downward due to wfh,we need to come up with some solution,especially how we can… https://t.co/trShkjQ9kc",negative,04-25
412,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",negative,04-25
413,#WFH https://t.co/TEF70JDq1I,negative,04-25
414,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",negative,04-25
415,#WFH https://t.co/oYZc8Te382,negative,04-25
416,"This list is styled after Ayla in the @office_scandal series
#ToDoList #ThingsToDo #GirlBoss #GetThingsDone… https://t.co/4x3QJbzeV2",negative,04-25
417,"This list is styled after Ayla in the @office_scandal series
#ToDoList #ThingsToDo #GirlBoss #GetThingsDone… https://t.co/BPUcY0gRVK",negative,04-25
418,"@iSpeakAfrica @LeboLion_SA @AuraPriiscel Q7.  Technology is an enabler of business, #wfh is the order of the day ev… https://t.co/zjJQqlnMo0",negative,04-25
419,@i_Anand_ @invest_mutual Many companies are paying internet charges as per WFH policy.. Electricity charges won't b… https://t.co/BhYmoEWHaF,positive,04-25
420,@_TheShah_ Haan lekin bas maheenay k liye jana hai. Phir wapis aa jaoon ga na. Is se zyada nahin daftar se door reh… https://t.co/KUp9JlOZO9,positive,04-25
421,"@grantrobertson1 @jacindaardern @jamespeshaw UBI and electrification of transport, regional tourism investment, WFH… https://t.co/EPYtFAEpeP",positive,04-25
422,"Increase survey counts exponentially by QR codes.

#survey #feedback #fynzo #qrcodes #research #saassales #software… https://t.co/RWWB6Z9jTX",positive,04-25
423,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",positive,04-25
424,@Being_Sakht1 @India_Policy He works in an IT company which is providing him #WFH facility so basically he dont nee… https://t.co/mZLOBZTtC6,positive,04-25
425,RT @monsoon0: Looking for basics on how to help your kids with maths? #WFH https://t.co/iusQKs6Nad,positive,04-25
426,"@larissafernand @FTIIndia Here ""Better ways to serve you in the future"" translates to ""If we allow you to redeem in… https://t.co/eSQ0yHnc64",positive,04-25
427,@FOODFESS2 worth bgt. aku jg beli paket wfh 45k dapet paket panas sama paket hemat burger kenyang ampe bego dah aku makannya,positive,04-25
428,RT @Nawab_Unleashed: @MahindraExp #LearnGrowRise being from lucknow biryani is always the 1st thing on my mind in terms of food. In this lo…,positive,04-25
429,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",negative,04-25
430,"RT @gurgaonibs: IBS Gurgaon encourages the management scholars to focus on upskilling their soft skills for effective management.

#IBSGurg…",negative,04-25
431,RT @BrahmaandKiMaa: in office                      in lockdown wfh https://t.co/WhaORb0Rbz,negative,04-25
432,WFH means 24/7 only work less sleep more work #Lockdown2 even my kids know where to find me. Always with laptop,negative,04-25
433,WFH para largo los q puedan https://t.co/SXRgMFRPjv,negative,04-25
434,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",negative,04-25
435,"Work, heat, fasting, pandemic. Back to the same old grind, WFH was good till it lasted.",negative,04-25
436,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",negative,04-25
437,"@i_Anand_ @invest_mutual Misleading heading of the news!!
Actual article says 75% employee will get WFH by 2025..wh… https://t.co/iqXHglfEa4",negative,04-25
438,"#WFH and #remotework is about freedom. When you are restricted to your home and have to work, you don't have freedo… https://t.co/CrLvvN9c9Y",negative,04-25
439,"RT @Nkj05: @karanbirtinna 1 week every quarter for nature and environment to heal. I do foresee that with many people now regularly WFH, ai…",positive,04-25
440,@KhaledBeydoun No blast reported any part of world. Terrorist are doing wfh.,positive,04-25
441,"RT @sdlcinfotech: Required UI / UX Designer | Remote / WFH

Work Experience: 3+Years

Place of Posting: Remote/ WFH (Onsite after Lockdown…",positive,04-25
442,"RT @sdlcinfotech: Required UI / UX Designer | Remote / WFH

Work Experience: 3+Years

Place of Posting: Remote/ WFH (Onsite after Lockdown…",positive,04-25
443,"Wfh itu kadang tidak kenal waktu, tau tau malem minggu jam segini dimintai kerjaan. Sebenernya ku sudah rindu ke kantor setiap hari.",positive,04-25
444,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",positive,04-25
445,"@Flipkart @flipkartsupport flipkart is so shameless that they are not providing option to use pay later option , th… https://t.co/6kSowFxiig",positive,04-25
446,Just a reminder: The SAB&amp;T Foundation has joined @mealsaorg to help those in need.  Visit our website… https://t.co/pt4zmWmbKY,positive,04-25
447,Day 3/3 for being the virtual care provider! Let's go! #virtualmedicine #fnp #wfh https://t.co/XvWxPUTwl4,positive,04-25
448,"Kalau ditanya orang"" selama kamu #dirumahaja apa achievement yg paling kamu banggain? Gue akan jawab score Emoji Bl… https://t.co/lYBNx0DrN1",positive,04-25
449,"@rahulkanwal WfH is more productive as travelling biggest stress 
Govt of India must shift GoI institutions from NC… https://t.co/owJRNFm5Z0",positive,04-25
450,"It was always trending to look glamorous&amp;wear tons of make up.Looking unkempt&amp;raw,without make up,in comfortable cl… https://t.co/PdRP4Mhrsj",positive,04-25
451,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",positive,04-25
452,"@Twitter When your manager didn't approve your leave.
Employee: Ahhggssasasdlaskallsajdlaksnclaskclanslkdnasldjalsk… https://t.co/kVFTLldOPT",positive,04-25
453,"RT @romitguhaET: Govt gets started to make work from home process smooth @ASMankotiaET
https://t.co/Xnqyx5lRO3",positive,04-25
454,@KaySocLearn @iphigenie Economy wise - well at least here in Aus schools are not closed to students who can not wor… https://t.co/c0rtvliNIL,positive,04-25
455,WFH : Work From Hug #misale,positive,04-25
456,"DXCTechnology: How do you enable 130,000 employees in 70 countries to work collaboratively across different time zo… https://t.co/Ol9uKkiQgb",positive,04-25
457,#redufy #reanasedutech #joinus #registertoday #signup #educator #startup #startupindia #becomeeducator #followus… https://t.co/QQeAbNvuoR,positive,04-25
458,#Security related to #WFH &amp; #virtualmeetings is top if mind at the moment. #AdobeConnect boasts multi-layered secur… https://t.co/2z59hmMJIL,positive,04-25
459,IBS Gurgaon encourages the management scholars to focus on upskilling their soft skills for effective management.… https://t.co/r7lWZGBiDq,positive,04-25
460,"Currently drinking ~1.5 cases of beer per week.

WFH needs to end soon.",positive,04-25
461,"I really liked this

https://t.co/SKhJy7UE2e",positive,04-25
462,"Hope I carry on wfh because I'm not about this mask life, give me zero ma'am",positive,04-25
463,RT @BrahmaandKiMaa: in office                      in lockdown wfh https://t.co/WhaORb0Rbz,positive,04-25
464,"Keep it productive, healthy and yet stress-free whether you work from home 🏠 or  learn🎓 📚 from home!

#vanitywagon… https://t.co/IBfs2S8iYz",positive,04-25
465,"The one stop for online branding &amp; marketing.We help you to reach your target audience.
https://t.co/Xx8GztUtRW… https://t.co/GdJLKeA8Os",positive,04-25
466,"RT @PerpetuaTurner: Greening your #WFH space is this easy.

Simply get a glass jar, 
add soil, 
add #bryophyte (you will probably mainly fi…",positive,04-25
467,@MRPfashion A chair for my wfh office. My back is killing me 😢,positive,04-25
468,"RT @PerpetuaTurner: Greening your #WFH space is this easy.

Simply get a glass jar, 
add soil, 
add #bryophyte (you will probably mainly fi…",positive,04-25
469,"RT @PivData: Many #CCTR's had little choice but to allow agents to #WFH during #Covid. Yet, there are many obstacles that #ContactCentres n…",positive,04-25
470,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",positive,04-25
471,"Our pro bono programme was launched a month ago to help orgs supporting WFH employees, healthcare workers, &amp; other… https://t.co/RgJYYRsS6v",positive,04-25
472,"https://t.co/LIu7FNlTsJ

#GoogleCalendar #Calendar #Schedule #Google #Python #Meetings #WFH #WorkingFromHome",positive,04-25
473,Good for #wfh tips for a manager https://t.co/ODmymqSTyv,positive,04-25
474,"@rucsb Work from home is the new normal
. #WFH",positive,04-25
475,"RT @FounderIndia: “One golden rule that everybody has to follow is to fulfill the nutritional needs of the body, and being cheerful in this…",positive,04-25
476,# Parenting #covid19 #Work from home # #self management #Relationships # #discipline #time management tips # Family… https://t.co/1h6HkGqqWl,positive,04-25
477,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",positive,04-25
478,@RachelBkr @ben_hr @glengyron Increased WFH would ripple thru economy. Large impact on commercial property sector.… https://t.co/7YSRUDM29S,positive,04-25
479,"It’s one thing to #wfh, it’s another to manage the #productivity of the business remotely. This is the time where r… https://t.co/u6GhcBmo9W",negative,04-25
480,MEITY (Govt of India) along-with DSCI has created an integrated use case library to build a strong security posture… https://t.co/iVbKwDWqR4,negative,04-25
481,"people and less to others, when you're doing #WFH it becomes more acute. So make a conscious effort to break down w… https://t.co/mo58UO3Xrk",negative,04-25
482,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",negative,04-25
483,RT @monsoon0: Looking for basics on how to help your kids with maths? #WFH https://t.co/iusQKs6Nad,negative,04-25
484,The laborious lockdown means children are being taught by their parents – who appear to be learning just as much as… https://t.co/KXfNCgJvLj,negative,04-25
485,"Tips to manage the blues for working parents, now WFH 
https://t.co/P2KJNKQEjD https://t.co/KFLABoMSaK",negative,04-25
486,"Since transforming her diet and finding the type of training that best suits her #WFH lifestyle, Abby has seen amaz… https://t.co/JqnnTOwkJB",negative,04-25
487,"#Coronavirus, yeah ….Unw­elcome guest, prompted a few welcome changes and one of them is .. as work from home (WFH)… https://t.co/KIDPLzYcu2",negative,04-25
488,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",negative,04-25
489,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",negative,04-25
490,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",negative,04-25
491,"@TataConsumer 💙This is the best way to utilise my quarantine days 
💙Here is how i work from home , working from hom… https://t.co/YSqOfEr4vj",negative,04-25
492,4 seasons of Lucifer nahuman in one wk perks of wfh 😂 😂,negative,04-25
493,This is totally correct. @SwitchHQ moved to WFH on 13 March. Dozens of Sydney businesses did the same. The CBD was… https://t.co/ZF8lot981q,negative,04-25
494,@aadil @lsmurthy99 @ajay_venkatesh1 @kritimakhija @DrAmitInspires @sanjaymuthal @VijayBankar @hrsanjaynegi… https://t.co/P909zSDkwm,negative,04-25
495,"@rahulkanwal Proper security and equipment should be provided.. like VPN Antivirus, Firewall etc..along with I thin… https://t.co/oedvAdU7SB",negative,04-25
496,RT @BrahmaandKiMaa: in office                      in lockdown wfh https://t.co/WhaORb0Rbz,negative,04-25
497,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",negative,04-25
498,@aadil @lsmurthy99 @ajay_venkatesh1 @kritimakhija @DrAmitInspires @sanjaymuthal @VijayBankar @hrsanjaynegi… https://t.co/aUCdayuOSU,negative,04-25
499,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",negative,04-25
500,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",negative,04-25
501,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",negative,04-25
502,"RT @arifkhan7: REMOTE JOBS IN INDIA, 2020: 💻

Starting a thread of work from home (#WFH) jobs in India hiring primarily in the digital mark…",negative,04-25
503,RT @monsoon0: Looking for basics on how to help your kids with maths? #WFH https://t.co/iusQKs6Nad,negative,04-25
504,RT @ResearchSchola6: Post Covid 19 four things are likely to change in the way we work. 1. Acceptance of WFH 2. Increased usage of VC in co…,negative,04-25
505,RT @BrahmaandKiMaa: in office                      in lockdown wfh https://t.co/WhaORb0Rbz,negative,04-25
506,RT @ResearchSchola6: Post Covid 19 four things are likely to change in the way we work. 1. Acceptance of WFH 2. Increased usage of VC in co…,negative,04-25
507,RT @monsoon0: Looking for basics on how to help your kids with maths? #WFH https://t.co/iusQKs6Nad,negative,04-25
508,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",negative,04-25
509,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",negative,04-25
510,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",negative,04-25
511,RT @BrahmaandKiMaa: in office                      in lockdown wfh https://t.co/WhaORb0Rbz,negative,04-25
512,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",negative,04-25
513,RT @BrahmaandKiMaa: in office                      in lockdown wfh https://t.co/WhaORb0Rbz,negative,04-25
514,"An innovative way to keep yourself ""happy"" when you have to join a video call #WFH
@Amitt2gauri @anshumig… https://t.co/6JQQbYldWk",negative,04-25
515,RT @BrahmaandKiMaa: in office                      in lockdown wfh https://t.co/WhaORb0Rbz,negative,04-25
516,RT @BrahmaandKiMaa: in office                      in lockdown wfh https://t.co/WhaORb0Rbz,negative,04-25
517,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",negative,04-25
518,in office                      in lockdown wfh https://t.co/WhaORb0Rbz,negative,04-25
519,"RT @TDFcomPK: Week 1 of #WFH complete! #TeamTDF delivering deadlines whilst abiding by social distancing. 
#COVID19 #CoronaVirus #SociallyR…",positive,04-25
520,"@johnlittle @KerryAnnSmith1 I cld probably write 20 replies, but I echo what earlier responders have said.

We also… https://t.co/BD0OZXG2gs",positive,04-25
521,"We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at… https://t.co/IAllp8jqKC",positive,04-25
522,"@JioCare unable to connect with some website using ur website  .I hv to do wfh .but unable to access company website.

Please help...",positive,04-25
523,"Tips to manage the blues for working parents, now WFH https://t.co/cWhqpErR0m https://t.co/G5bSoFZcGQ",positive,04-25
524,fu 100 clients for 2 days becanda aja nih wfh 💩,positive,04-25
525,@excitel_rocks @raina_vivek its my humble request to please resolve the upload speed issue which i am facing since… https://t.co/xxAqhTeIOt,positive,04-25
526,Not sure what the day of the week is..  🤔  but today is starting with Milo and I'm going to be doing stuff that's not work related.  #wfh,positive,04-25
527,Are you mentally ready for remote working? please join our live meetup @ https://t.co/VV2GPs5y54 to get your questi… https://t.co/AgBebXwh5M,positive,04-25
528,"RT @pandebaik: Kal liu nitip lapak masan WFH ne bli @dokterMade @BaleBengong
Ampura merepotkan mengingat situasine #dirumahaja 

Yang perlu…",positive,04-25
529,@rahulkanwal WFH is nt 4 long time run. Human brings tends to compete with their colleagues which brings out the be… https://t.co/xTbKu913bz,negative,04-25
530,Join our next speaker Ms. #Yogyata Mehtani. She is putting her though on Mindset switch for remote working during o… https://t.co/w51YjXoA7A,negative,04-25
531,#reading #novels #detectivestorybooks #thrillerstories has always been my best #timepass in #leisuretime . This is… https://t.co/Wnjb8dtJ7u,negative,04-25
532,It’s pine-o-clock! Cheers President Trump! #COVIDIOTS #wfh https://t.co/DlBi43FUuA,negative,04-25
533,@Geet77634057 @nancy37411181 @tina04sharma @sheena_luv_sana @varunaC51214981 @aashi__pandey @khairakaur2 Teacher fi… https://t.co/RTqGSaAULx,negative,04-25
534,"RT @pandebaik: Kal liu nitip lapak masan WFH ne bli @dokterMade @BaleBengong
Ampura merepotkan mengingat situasine #dirumahaja 

Yang perlu…",negative,04-25
535,One of my #StayAtHome #WFH oddities is the luxury of wearing some clothes inside out so the tag or cut edges of a t… https://t.co/H5mzX00SoE,negative,04-25
536,"Kal liu nitip lapak masan WFH ne bli @dokterMade @BaleBengong
Ampura merepotkan mengingat situasine #dirumahaja 

Y… https://t.co/5NkAwgrXGr",negative,04-25
537,wfh + online uni  https://t.co/8ZoaPuQCIZ,negative,04-25
538,@MTNLOfficial It's been more than 8 days since the complaint. There has been no action yet. FTTH is an essential se… https://t.co/djbx9eUS3t,negative,04-25
539,"@rahulkanwal For Employees, WfH is good. I work for 3-4 hours in morning, take a Nap in noon, then work for 2-3 in… https://t.co/1Q8lH1khH8",positive,04-25
540,@KarenS_Carter @DowNewsroom @DrAlveda Hahaha Alveda’s T-shirt game is too much! But in my 4yrs I have collected a f… https://t.co/QvXPKgPbC9,positive,04-25
541,"With the current rate of testing and uncertainties in findings, it's clear that lockdown won't end by 3rd. And with… https://t.co/yAtfX0AQxK",positive,04-25
542,"RT @GeeknGlam: @Helix_Watches Cooking makes me smile ❤️
I just finish my WFH and start baking or frying something , my life is perfectly to…",positive,04-25
543,"Working from home 

#WFH #WorkFromHome #tips #SaturdayThoughts #SaturdayMorning #HomeOffice #abillionthingstodo… https://t.co/YpmIDnghdN",positive,04-25
544,"@tmurphyNZ Will be promoting WFH with 1-2 days p/wk in office as necessary - driving in, not public transport, afte… https://t.co/Ww5yWTSMJC",positive,04-25
545,@MTNLOfficial no internet since yesterday lodged complaint 2wice but no avail also phone number 1504 and gm central… https://t.co/pr8GvNig0R,positive,04-25
546,"WeWork was ridiculed for being overpriced (it probably was), but now that lots of people have been forced to WFH, s… https://t.co/ciD5jPOW3h",positive,04-25
547,@CareGtpl @GTPL_Hathway @GTPL_BROADBAND @GTPL_Hathway Since last 1 week my internet is not working. uid gopal_b3. m… https://t.co/CjT9XT2eVh,positive,04-25
548,@debjani_ghosh_ @rnivruti 😱 Since when are you at it? #WFH,positive,04-25
549,"Imagine if you saw one (or a few) containers empty! 
#spider #WFH #workfromhome
&gt;&gt;
Museum worker makes room for 100… https://t.co/cazzBgSESY",negative,04-25
550,I have accepted the challenge by @drkellywalton to share my story of life #WFH during #Covid_19australia… https://t.co/nwA7vwTKxU,negative,04-25
551,@MelissaLDavey But can we please stop the BS re watching Netflix in pyjamas while WFM. Many WFH staff having every… https://t.co/heAmEYCf3X,negative,04-25
552,@karanbirtinna 1 week every quarter for nature and environment to heal. I do foresee that with many people now regu… https://t.co/hLVjJ8sms3,negative,04-25
553,"&amp; d #org took notice of immense #talent pool sitting @ home either due 2 career break out of #familycare, didn't fi… https://t.co/Q328PrZdlh",negative,04-25
554,"Finally, some good news. WFH seems to have opened the minds of our corporate honchos: the flexibility women desire… https://t.co/bweTjbPJte",negative,04-25
555,The most delightful (and accurate!) diary of #wfh in @GoodWeekendMag by Amanda Hooton. #Covid_19australia #iso @theage,negative,04-25
556,RT @smvaconsultants: #workfromhome #besthrfranchise #technology #leadership #personalbranding #strategy #hiring #entreprenuer #engagement #…,negative,04-25
557,@djswap @LTI_Global Yes. Safe and sound. Staying at home #WFH,negative,04-25
558,"Another day, another home office tech coordination. Pocket-sized power w/a serious punch, ChargeUp Reserve Power Ba… https://t.co/mMSyrSnpJt",negative,04-25
559,"@Jason Despite all the WFH, it doesn't replace the effectiveness of a personal to personal meeting.  Not in every situation, but in many.",positive,04-25
560,"RT @UCxUP: WFH
Work From Hahaha",positive,04-25
561,Everyone wants this #lockdown2 #WFH https://t.co/9FKoQbUqL8,positive,04-25
562,"RT @prestontowers: What do we get from our media? Facile, offensive rubbish like this. I am making video calls every day to at least one of…",positive,04-25
563,"@adamajacoby Revitalising! This is a great wake up to society for what’s important in life. Community, empathy, &amp; e… https://t.co/TyZfcRCZCA",positive,04-25
564,"@TataConsumer #WorkFromHomeHack 
#TataConsumer #ContestAlert #ForBetter #WFH   The positive attitude within my fami… https://t.co/KvPG7bK76p",positive,04-25
565,"RT @DGTechnoLabs: Companies around the globe have rolled out mandatory #remotework, #WorkFromHome (#WFH) works best if it’s by choice. Shar…",positive,04-25
566,"@rajeshsawhney @narendramodi Decongest cities .. with connectivity, internet and work from anywhere concepts, we ca… https://t.co/QD7EPrtTlu",positive,04-25
567,"Iso checklist 

Uncomfortable WFH 💻 ✅ 
Banana bread 🍌 ✅ 
Sourdough 🍞 ✅ 
Cake 🍰 ✅ 
Roast pork 🐷 ✅ 
Long walks 🚶‍♂️✅… https://t.co/WIfQAqf0HF",positive,04-25
568,"RT @BroHilderchump: @FinanceSavvy1 @lilacwillow_ From every available bit of advice so far from the government, only ""at risk"" teachers age…",positive,04-25
569,Understand how your organisation can reduce monthly subscription costs and join and collaborate seamlessly in video… https://t.co/w25BZiyeBS,positive,04-25
570,"How about I pay you to go away, forever?
#Zoom #WFH https://t.co/o6eW54ufc8",positive,04-25
571,@casstryan @Judith54Nunn @JaneCaro @David_Speers @Kieran_Gilbert The point is; teachers are not pushing WFH because… https://t.co/4ZFUfeKmkm,positive,04-25
572,"Dr Zach's tips for avoiding back pain if you are #WFH  

#KeepMoving #BackPain #RexBusinessCas  
  
Watch it here https://t.co/unX3T1bodg",positive,04-25
573,WFH is weird... I’m trying to do the same stuff I usually do (motivate inspire lead architect design raise changes… https://t.co/nBynpX7fS5,positive,04-25
574,"Home school of hard knocks: the diary of a WFH mother https://t.co/Q1kY9tXEuL via @smh. Home schooling, nits and ca… https://t.co/GOKABTphUw",positive,04-25
575,"I like my home to be my home. 
Really over WFH #2020 🧃",positive,04-25
576,"End of Day 29
* WFH, life as usual minus traveling ✅
* Relax ✅
* Play Xbox✅",positive,04-25
577,"Day 29 plans
* WFH, life as usual minus traveling 
* Relax
* Play Xbox",positive,04-25
578,@drclarerees @amyfinlayjones @WhittinghamKoa @spiltmilkpsych @HayleyQuinnPhD @dralisonpsych @DrShelleyK @chisi_98… https://t.co/7KwKNr4GgS,positive,04-25
579,"RT @GeeknGlam: @Helix_Watches Cooking makes me smile ❤️
I just finish my WFH and start baking or frying something , my life is perfectly to…",positive,04-25
580,"RT @Scott82Anderson: This is my 17th year of working from home! Since a lot of people are having to do so for the first time, I thought I'd…",positive,04-25
581,"How to avoid WFH burnout https://t.co/BzBKOA8igB
 
A more traditional view of what we should be doing.",positive,04-25
582,"@DrDemography Keep - importance of family time, older activities- cards, boardgames, puzzles, ping pong. Keep- medi… https://t.co/PEjinrM1fA",positive,04-25
583,"RT @UnistalGlobal: What is Domain Shadowing?

To Protect yourself from any online threat download #ProtegentAntivirus - https://t.co/gbURwZ…",positive,04-25
584,"What is Domain Shadowing?

To Protect yourself from any online threat download #ProtegentAntivirus -… https://t.co/JoBgIqLZn9",positive,04-25
585,"“The WFH program has been extended until July 13” 

ah ok, shévere, esselénte",positive,04-25
586,"This is my 17th year of working from home! Since a lot of people are having to do so for the first time, I thought… https://t.co/G27RRlc1Fj",positive,04-25
587,There’s been a lot of this happening this past week. #learningathome #WFH https://t.co/RH0cU5RIIM,positive,04-25
588,"That #WFH life hit a little different this week, and I’m so grateful for my incredible team lifting me up and helping me succeed. 💕",positive,04-25
589,"@jimbo_aus Oh that's good. It's been ages and particularly annoying with this WFH.
100/40 here I come.",negative,04-24
590,"@StephDyhrberg I agree. I really need to do the tv yoga class. 

Dog is getting in some good walks while I WFH, so… https://t.co/uHKlPzqv14",negative,04-24
591,@MomCBS What is WFH?,negative,04-24
592,Long time followers will be aware of my battles with weight.  For 20 years fluctuations in weight have been a probl… https://t.co/oTfu2ftHmr,negative,04-24
593,And the neighbours came out with their candles and peered down the street toward the mystery bugler the WFH crowd… https://t.co/3hhAvma10b,negative,04-24
594,"RT @prestontowers: What do we get from our media? Facile, offensive rubbish like this. I am making video calls every day to at least one of…",negative,04-24
